x,y
697177.28,3416820.4
697187.21,3416831.5
697197.46,3416843.1
697208.05,3416855.1
697218.89,3416867.4
697229.78,3416879.7
697240.5,3416891.7
697250.85,3416903.1
697260.76,3416914
697270.27,3416924.2
697279.52,3416934.1
697292.81,3416921.7
697306.7,3416909.2
697321.23,3416896.7
697336.39,3416884.1
697352.16,3416871.6
697368.33,3416859.1
697385.01,3416846.9
697401.74,3416835.9
697422.35,3416825.2
697442.56,3416809.3
697459.85,3416794.6
697476.79,3416780.2
697493.38,3416766.1
697509.71,3416752.2
697525.93,3416738.4
697541.92,3416724.6
697557.53,3416710.9
697572.83,3416697.6
697588.04,3416684.8
697604.14,3416672.5
697621.04,3416659.4
697638.08,3416645.2
697654.23,3416630.1
697669.53,3416615.3
697685.11,3416600.9
697701.48,3416586.1
697718.93,3416569.6
697735.1,3416549.6
697748.32,3416528.9
697758.69,3416509.2
697768.75,3416491.2
697778.28,3416473.4
697788.12,3416456
697798.43,3416437.8
697808.1,3416417.7
697816.12,3416396.4
697822.16,3416374.3
697826.69,3416351.8
697827.82,3416329.1
697826.59,3416308.5
697825.22,3416289.7
697824.33,3416271.1
697822.69,3416252.6
697821.83,3416233.6
697820.69,3416212.5
697816.75,3416187.2
697806.4,3416163
697795.04,3416140.7
697781.19,3416121.9
697768.6,3416105.1
697755.82,3416089
697742.74,3416074.9
697730.82,3416061.9
697720.13,3416049
697710.28,3416035.4
697700.68,3416020.4
697690.25,3416002.8
697675.44,3415982.9
697656.48,3415965.9
697636.83,3415951.7
697616.75,3415938.8
697595.97,3415927.2
697574.9,3415917.1
697554.85,3415908.7
697536.75,3415900.9
697520.47,3415892.5
697505.33,3415883.3
697491.09,3415873.6
697477.88,3415863.8
697465.77,3415854
697454.81,3415844.5
697445.22,3415835
697436.95,3415825.5
697429.78,3415815.6
697423.43,3415805.2
697417.65,3415794.3
697412.25,3415783
697407.16,3415771.5
697402.35,3415759.9
697397.82,3415748.3
697393.59,3415736.9
697389.59,3415725.9
697386.1,3415715.6
697383.33,3415705.8
697381.29,3415696.5
697380.06,3415687.3
697379.68,3415678.2
697380.11,3415668.9
697381.28,3415659.1
697383.13,3415648.8
697385.65,3415637.8
697388.81,3415626
697392.56,3415613.3
697396.94,3415599.8
697402,3415585.4
697407.76,3415570.2
697414.26,3415554.2
697421.52,3415537.4
697429.52,3415519.8
697438.16,3415501.5
697447.26,3415482.5
697456.58,3415463.1
697466.12,3415443.6
697475.99,3415424.1
697486.21,3415404.6
697496.55,3415385.3
697507.33,3415366.4
697518.74,3415347.4
697530.61,3415328.1
697542.69,3415308.2
697554.68,3415287.7
697566.33,3415266.3
697577.08,3415244.2
697586.71,3415222.2
697595.54,3415200.6
697603.55,3415179.3
697610.49,3415159.3
697617.17,3415141.4
697624.99,3415125
697633.48,3415109.2
697642.65,3415094.2
697652.49,3415079.6
697662.75,3415065.3
697673.26,3415051.4
697683.95,3415037.9
697694.77,3415024.8
697705.72,3415012.1
697716.82,3414999.7
697728.07,3414987.7
697739.55,3414976.1
697751.36,3414964.9
697763.57,3414953.9
697776.25,3414943.1
697789.45,3414932.4
697803.22,3414921.8
697817.65,3414911.3
697832.8,3414900.6
697848.76,3414889.7
697865.48,3414878.4
697882.84,3414866.6
697900.78,3414854.4
697919.21,3414841.5
697937.9,3414827.9
697956.19,3414813.4
697973.56,3414798.7
697989.97,3414784.4
698005.99,3414770.9
698022.16,3414757.8
698038.55,3414744.7
698054.98,3414731.4
698071.06,3414718.1
698087.1,3414704.8
698102.69,3414691.5
698118.25,3414678.9
698134.48,3414666.3
698151.33,3414653
698168.33,3414638.5
698184.98,3414622.3
698199.62,3414604.8
698212.75,3414587.8
698225.17,3414570.9
698237.28,3414554.3
698249.22,3414537.4
698260.76,3414520.2
698272.12,3414503
698283.4,3414485.4
698294.54,3414467.5
698305.45,3414449.1
698316.17,3414430.4
698326.66,3414411.3
698336.99,3414391.9
698347.25,3414372.2
698357.42,3414351.9
698367.36,3414330.8
698376.61,3414308.4
698383.93,3414285.3
698389.76,3414263
698394.68,3414241.4
698399.3,3414220.8
698404.16,3414200.6
698409.18,3414180.2
698414.1,3414159.4
698418.55,3414137.9
698422.01,3414116
698424.44,3414094.3
698426.38,3414073.5
698428.51,3414053.3
698431.28,3414033.1
698434.05,3414012.8
698437.59,3413992.6
698441.6,3413971.5
698445.55,3413949.7
698449.09,3413927.4
698452.14,3413904.9
698454.63,3413882.3
698456.43,3413859.7
698457.48,3413837.3
698457.86,3413815.4
698457.69,3413793.9
698457.09,3413773
698456.01,3413752.4
698454.51,3413732.3
698452.48,3413712.3
698449.69,3413692.3
698445.79,3413672.1
698440.07,3413652.4
698433.29,3413633.8
698425.83,3413616
698417.75,3413598.4
698408.73,3413581.2
698399.04,3413564.4
698388.5,3413547.8
698376.92,3413531.3
698364.16,3413515.3
698350.47,3413500.1
698336.27,3413485.6
698321.66,3413471.7
698306.75,3413458.3
698291.54,3413445.2
698275.98,3413432.5
698260.02,3413420.1
698243.7,3413408.2
698227.07,3413396.8
698210.27,3413386.2
698193.55,3413376.2
698177.09,3413366.7
698160.93,3413357.5
698145,3413348.2
698129.26,3413338.8
698113.52,3413328.6
698096.95,3413317.2
698078.04,3413304.8
698056.29,3413293.4
698033.1,3413284.1
698009.85,3413276.6
697986.67,3413269.9
697963.31,3413263.8
697939.37,3413257.6
697913.73,3413251.5
697884.91,3413247.2
697855.36,3413248
697828.9,3413252.3
697806.23,3413257.9
697787.08,3413263.3
697770.76,3413267.3
697756.45,3413269.4
697743.02,3413269.1
697729.47,3413267.3
697715.72,3413264.7
697702.19,3413261.5
697689.06,3413257.6
697676.33,3413253.1
697663.94,3413247.8
697651.84,3413241.8
697639.96,3413235.1
697628.26,3413227.9
697616.76,3413220.1
697605.47,3413211.9
697594.41,3413203.2
697583.67,3413194
697573.33,3413184.4
697563.45,3413174.1
697554.02,3413163.5
697545.43,3413152.7
697537.8,3413141.5
697531.03,3413130
697524.95,3413118.3
697519.36,3413106.3
697514.09,3413094.2
697509.09,3413082.2
697504.36,3413070.2
697499.81,3413058
697495.57,3413045.7
697491.67,3413033.1
697488.11,3413019.9
697484.96,3413006.1
697482.3,3412991.4
697480.2,3412975.7
697478.7,3412958.8
697477.78,3412940.7
697477.33,3412921.3
697477.03,3412900.9
697477.14,3412879.9
697477.59,3412858.4
697478.32,3412836.5
697479.22,3412814.2
697480.17,3412791.5
697481.02,3412768.5
697481.69,3412745.2
697482.02,3412721.4
697481.93,3412697.5
697481.31,3412673.3
697480.02,3412649.3
697478.37,3412625.7
697476.66,3412602.6
697475.02,3412579.7
697473.55,3412557
697472.14,3412534.3
697470.88,3412511.9
697469.95,3412489.5
697469.23,3412466.8
697468.55,3412443.6
697467.67,3412419.9
697466.17,3412395
697462.64,3412370.1
697458.39,3412346.7
697454.12,3412324.6
697450.57,3412303.7
697448.18,3412283.1
697446.38,3412262.6
697445.55,3412242.4
697445.66,3412221.8
697446.44,3412200.7
697447.71,3412178.8
697449.11,3412155.8
697449.5,3412131.4
697447.99,3412106.9
697445.39,3412083.5
697442.21,3412060.5
697438.3,3412037.7
697433.27,3412015
697427.15,3411993
697420.44,3411971.9
697413.8,3411951.8
697407.67,3411932.2
697402.2,3411912.6
697396.94,3411892.9
697392.2,3411873.4
697387.99,3411854.1
697384.21,3411834.7
697380.78,3411815.5
697377.66,3411796.5
697374.82,3411777.6
697372.24,3411759
697369.94,3411740.6
697367.93,3411722.5
697366.24,3411704.6
697364.86,3411687.1
697363.88,3411669.8
697363.33,3411652.6
697363.22,3411635.5
697363.48,3411618.3
697363.97,3411600.8
697364.59,3411583.1
697365.3,3411565.2
697366.14,3411547.2
697367.16,3411529
697368.42,3411510.7
697369.97,3411492.5
697371.95,3411474.3
697374.54,3411456.4
697377.91,3411438.7
697382.19,3411421.3
697387.44,3411403.6
697393.02,3411386
697399.35,3411368.9
697406.39,3411351.8
697413.98,3411334.8
697422.01,3411317.9
697430.41,3411301.2
697439.14,3411284.5
697448.18,3411268
697457.5,3411251.4
697467.12,3411234.9
697477.07,3411218.3
697487.37,3411201.6
697498.02,3411184.7
697509.02,3411167.5
697520.36,3411150
697532.02,3411132.2
697543.96,3411114.1
697556.12,3411095.7
697568.5,3411077.2
697581.06,3411058.7
697593.79,3411040.1
697606.72,3411021.6
697619.81,3411003.2
697633.08,3410984.9
697646.54,3410966.7
697660.17,3410948.5
697673.94,3410930.3
697687.85,3410912.1
697701.86,3410893.8
697715.94,3410875.5
697730.07,3410857
697744.18,3410838.3
697758.16,3410819.3
697771.9,3410800.2
697785.3,3410780.9
697798.38,3410761.5
697811.19,3410742.1
697823.8,3410722.8
697836.28,3410703.4
697848.65,3410684
697860.95,3410664.5
697873.17,3410645
697885.29,3410625.6
697897.26,3410606.2
697909.09,3410586.9
697920.72,3410567.7
697932.21,3410548.8
697943.64,3410530.2
697955.12,3410511.9
697966.72,3410493.7
697978.48,3410475.6
697990.42,3410457.5
698002.53,3410439.2
698014.77,3410420.8
698027.08,3410402.2
698039.43,3410383.4
698051.78,3410364.5
698064.11,3410345.6
698076.44,3410326.6
698088.75,3410307.8
698101.05,3410289
698113.35,3410270.5
698125.79,3410252.2
698138.48,3410233.9
698151.39,3410215.2
698164.09,3410195.7
698175.92,3410175.5
698186.61,3410155.2
698196.39,3410135.1
698205.53,3410115.3
698214.18,3410095.7
698222.53,3410076.2
698230.62,3410056.6
698238.47,3410036.9
698246.08,3410016.9
698253.41,3409996.7
698260.48,3409976.3
698267.23,3409955.6
698273.71,3409934.9
698280,3409914.1
698286.16,3409893.3
698292.23,3409872.5
698298.08,3409851.9
698303.93,3409831.4
698309.9,3409811.2
698316.12,3409791.1
698322.55,3409770.7
698329.08,3409750
698335.57,3409728.8
698341.84,3409707
698347.73,3409684.6
698352.92,3409661.6
698357.01,3409638.3
698360.02,3409615.3
698362.38,3409593
698364.6,3409571.5
698367,3409550.6
698369.71,3409530
698372.83,3409509.7
698376.5,3409489.4
698380.81,3409468.9
698385.59,3409447.7
698390.46,3409425.5
698395,3409402.3
698398.76,3409378.2
698401.32,3409353.4
698402.67,3409328.5
698402.95,3409303.6
698402.29,3409278.9
698400.86,3409254.3
698398.73,3409229.8
698395.82,3409205.2
698391.82,3409181
698387.4,3409157.2
698382.67,3409133.8
698377.71,3409110.5
698372.56,3409087.3
698367.22,3409064.2
698361.67,3409041.1
698355.9,3409018
698349.85,3408994.9
698343.44,3408971.9
698336.64,3408949.2
698354.44,3408932.8
698364.27,3408915.4
698370.4,3408896.8
698376.72,3408877.8
698381.61,3408864.4
698387.89,3408844.4
698393.59,3408826.5
698404.77,3408808.3
698415.55,3408790.9
698425.62,3408773.7
698436.08,3408757.5
698446.74,3408741.8
698457.69,3408726.7
698468.97,3408712.1
698480.6,3408697.6
698492.62,3408683.1
698504.96,3408668.4
698517.56,3408653.5
698530.3,3408638.4
698543.07,3408623
698555.81,3408607.6
698568.49,3408591.9
698581.08,3408576.2
698593.57,3408560.3
698605.93,3408544.4
698618.2,3408528.4
698630.47,3408512.6
698642.74,3408497.2
698655.07,3408482.4
698667.75,3408468
698681.16,3408454
698695.31,3408439.8
698709.9,3408425.1
698724.49,3408409.6
698738.66,3408393.1
698751.54,3408376.9
698763.91,3408360.2
698775.73,3408343.6
698787.23,3408327.1
698798.5,3408310.6
698809.66,3408294.2
698820.82,3408277.8
698832.17,3408261.3
698843.59,3408245
698855.32,3408228.3
